municipio_codigo;municipio_nombre;sexo;provincia_nacimiento;numero_defunciones
004; Alamo (El);Mujer;Córdoba;1
004; Alamo (El);Mujer;Coruña (A);1
004; Alamo (El);Mujer;Cuenca;3
004; Alamo (El);Mujer;Gipuzkoa;0
004; Alamo (El);Mujer;Girona;0
004; Alamo (El);Mujer;Granada;0
004; Alamo (El);Mujer;Guadalagara;2
004; Alamo (El);Mujer;Huelva;1
004; Alamo (El);Mujer;Huesca;0
004; Alamo (El);Mujer;Jaen;2
004; Alamo (El);Mujer;León;1
004; Alamo (El);Mujer;Lleida;0
004; Alamo (El);Mujer;Lugo;1
004; Alamo (El);Mujer;Madrid;17
004; Alamo (El);Mujer;Málaga;0
004; Alamo (El);Mujer;Melilla;1
004; Alamo (El);Mujer;Murcia;0
004; Alamo (El);Mujer;Navarra;0
004; Alamo (El);Mujer;No consta;3
004; Alamo (El);Mujer;Ourense;0
004; Alamo (El);Mujer;Palencia;0
004; Alamo (El);Mujer;Palmas (Las);0
004; Alamo (El);Mujer;Pontevedra;0
004; Alamo (El);Mujer;Rioja (La);0
004; Alamo (El);Mujer;Salamanca;1
004; Alamo (El);Mujer;Santa cruz de Tenerife;0
004; Alamo (El);Mujer;Segovia;0
004; Alamo (El);Mujer;Sevilla;1
004; Alamo (El);Mujer;Soria;0
004; Alamo (El);Mujer;Tarragona;0
004; Alamo (El);Mujer;Teruel;0
004; Alamo (El);Mujer;Toledo;5
004; Alamo (El);Mujer;Valencia/València;0
004; Alamo (El);Mujer;Valladolid;0
004; Alamo (El);Mujer;Zamora;0
004; Alamo (El);Mujer;Zaragoza;1
005; Alcalá de Henares;Hombre;Albacete;2
005; Alcalá de Henares;Hombre;Alicante/Alacant;0
005; Alcalá de Henares;Hombre;Almería;2
005; Alcalá de Henares;Hombre;Araba/Álava;1
005; Alcalá de Henares;Hombre;Asturias;8
005; Alcalá de Henares;Hombre;Ávila;22
005; Alcalá de Henares;Hombre;Badajoz;32
005; Alcalá de Henares;Hombre;Baleares (Illes);0
005; Alcalá de Henares;Hombre;Barcelona;1
005; Alcalá de Henares;Hombre;Bizkaia;1
005; Alcalá de Henares;Hombre;Burgos;10
005; Alcalá de Henares;Hombre;Cáceres;24
005; Alcalá de Henares;Hombre;Cádiz;6
005; Alcalá de Henares;Hombre;Cantabria;4
005; Alcalá de Henares;Hombre;Castellón/Castelló;1
005; Alcalá de Henares;Hombre;Ceuta;2
005; Alcalá de Henares;Hombre;Ciudad Real;31
005; Alcalá de Henares;Hombre;Córdoba;19
005; Alcalá de Henares;Hombre;Coruña (A);3
005; Alcalá de Henares;Hombre;Cuenca;28
005; Alcalá de Henares;Hombre;Gipuzkoa;1
005; Alcalá de Henares;Hombre;Girona;0
005; Alcalá de Henares;Hombre;Granada;8
005; Alcalá de Henares;Hombre;Guadalagara;58
005; Alcalá de Henares;Hombre;Huelva;5
005; Alcalá de Henares;Hombre;Huesca;0
005; Alcalá de Henares;Hombre;Jaen;21
005; Alcalá de Henares;Hombre;León;12
005; Alcalá de Henares;Hombre;Lleida;1
005; Alcalá de Henares;Hombre;Lugo;2
005; Alcalá de Henares;Hombre;Madrid;202
005; Alcalá de Henares;Hombre;Málaga;8
005; Alcalá de Henares;Hombre;Melilla;1
005; Alcalá de Henares;Hombre;Murcia;4
005; Alcalá de Henares;Hombre;Navarra;0
005; Alcalá de Henares;Hombre;No consta;36
005; Alcalá de Henares;Hombre;Ourense;4
005; Alcalá de Henares;Hombre;Palencia;2
005; Alcalá de Henares;Hombre;Palmas (Las);0
005; Alcalá de Henares;Hombre;Pontevedra;4
005; Alcalá de Henares;Hombre;Rioja (La);2
005; Alcalá de Henares;Hombre;Salamanca;10
005; Alcalá de Henares;Hombre;Santa cruz de Tenerife;1
005; Alcalá de Henares;Hombre;Segovia;6
005; Alcalá de Henares;Hombre;Sevilla;14
005; Alcalá de Henares;Hombre;Soria;4
005; Alcalá de Henares;Hombre;Tarragona;0
005; Alcalá de Henares;Hombre;Teruel;1
005; Alcalá de Henares;Hombre;Toledo;29
005; Alcalá de Henares;Hombre;Valencia/València;7
005; Alcalá de Henares;Hombre;Valladolid;4
005; Alcalá de Henares;Hombre;Zamora;9
005; Alcalá de Henares;Hombre;Zaragoza;4
005; Alcalá de Henares;Mujer;Albacete;3
005; Alcalá de Henares;Mujer;Alicante/Alacant;2
005; Alcalá de Henares;Mujer;Almería;3
005; Alcalá de Henares;Mujer;Araba/Álava;0
005; Alcalá de Henares;Mujer;Asturias;10
005; Alcalá de Henares;Mujer;Ávila;13
005; Alcalá de Henares;Mujer;Badajoz;30
005; Alcalá de Henares;Mujer;Baleares (Illes);0
005; Alcalá de Henares;Mujer;Barcelona;3
005; Alcalá de Henares;Mujer;Bizkaia;0
005; Alcalá de Henares;Mujer;Burgos;4
005; Alcalá de Henares;Mujer;Cáceres;27
005; Alcalá de Henares;Mujer;Cádiz;8
005; Alcalá de Henares;Mujer;Cantabria;4
005; Alcalá de Henares;Mujer;Castellón/Castelló;0
005; Alcalá de Henares;Mujer;Ceuta;1
005; Alcalá de Henares;Mujer;Ciudad Real;25
005; Alcalá de Henares;Mujer;Córdoba;18
005; Alcalá de Henares;Mujer;Coruña (A);2
005; Alcalá de Henares;Mujer;Cuenca;26
005; Alcalá de Henares;Mujer;Gipuzkoa;0
005; Alcalá de Henares;Mujer;Girona;2
005; Alcalá de Henares;Mujer;Granada;4
005; Alcalá de Henares;Mujer;Guadalagara;59
005; Alcalá de Henares;Mujer;Huelva;4
005; Alcalá de Henares;Mujer;Huesca;0
005; Alcalá de Henares;Mujer;Jaen;29
005; Alcalá de Henares;Mujer;León;7
005; Alcalá de Henares;Mujer;Lleida;0
005; Alcalá de Henares;Mujer;Lugo;2
005; Alcalá de Henares;Mujer;Madrid;149
005; Alcalá de Henares;Mujer;Málaga;3
005; Alcalá de Henares;Mujer;Melilla;0
005; Alcalá de Henares;Mujer;Murcia;4
005; Alcalá de Henares;Mujer;Navarra;6
005; Alcalá de Henares;Mujer;No consta;31
005; Alcalá de Henares;Mujer;Ourense;3
005; Alcalá de Henares;Mujer;Palencia;3
005; Alcalá de Henares;Mujer;Palmas (Las);0
005; Alcalá de Henares;Mujer;Pontevedra;1
005; Alcalá de Henares;Mujer;Rioja (La);3
005; Alcalá de Henares;Mujer;Salamanca;8
005; Alcalá de Henares;Mujer;Santa cruz de Tenerife;0
005; Alcalá de Henares;Mujer;Segovia;12
005; Alcalá de Henares;Mujer;Sevilla;12
005; Alcalá de Henares;Mujer;Soria;7
005; Alcalá de Henares;Mujer;Tarragona;1
005; Alcalá de Henares;Mujer;Teruel;1
005; Alcalá de Henares;Mujer;Toledo;36
005; Alcalá de Henares;Mujer;Valencia/València;1
005; Alcalá de Henares;Mujer;Valladolid;4
005; Alcalá de Henares;Mujer;Zamora;5
005; Alcalá de Henares;Mujer;Zaragoza;5
006; Alcobendas;Hombre;Albacete;1
006; Alcobendas;Hombre;Alicante/Alacant;1
006; Alcobendas;Hombre;Almería;1
006; Alcobendas;Hombre;Araba/Álava;1
006; Alcobendas;Hombre;Asturias;3
006; Alcobendas;Hombre;Ávila;5
006; Alcobendas;Hombre;Badajoz;7
006; Alcobendas;Hombre;Baleares (Illes);0
006; Alcobendas;Hombre;Barcelona;2
006; Alcobendas;Hombre;Bizkaia;3
006; Alcobendas;Hombre;Burgos;6
006; Alcobendas;Hombre;Cáceres;8
006; Alcobendas;Hombre;Cádiz;4
006; Alcobendas;Hombre;Cantabria;2
006; Alcobendas;Hombre;Castellón/Castelló;0
006; Alcobendas;Hombre;Ceuta;1
006; Alcobendas;Hombre;Ciudad Real;9
006; Alcobendas;Hombre;Córdoba;3
006; Alcobendas;Hombre;Coruña (A);1
006; Alcobendas;Hombre;Cuenca;4
006; Alcobendas;Hombre;Gipuzkoa;0
006; Alcobendas;Hombre;Girona;0
006; Alcobendas;Hombre;Granada;0
006; Alcobendas;Hombre;Guadalagara;13
006; Alcobendas;Hombre;Huelva;0
006; Alcobendas;Hombre;Huesca;0
006; Alcobendas;Hombre;Jaen;14
006; Alcobendas;Hombre;León;7
006; Alcobendas;Hombre;Lleida;2
006; Alcobendas;Hombre;Lugo;0
006; Alcobendas;Hombre;Madrid;111
006; Alcobendas;Hombre;Málaga;4
006; Alcobendas;Hombre;Melilla;2
006; Alcobendas;Hombre;Murcia;1
006; Alcobendas;Hombre;Navarra;1
006; Alcobendas;Hombre;No consta;15
006; Alcobendas;Hombre;Ourense;1
006; Alcobendas;Hombre;Palencia;4
006; Alcobendas;Hombre;Palmas (Las);0
006; Alcobendas;Hombre;Pontevedra;2
006; Alcobendas;Hombre;Rioja (La);0
006; Alcobendas;Hombre;Salamanca;7
006; Alcobendas;Hombre;Santa cruz de Tenerife;0
006; Alcobendas;Hombre;Segovia;13
006; Alcobendas;Hombre;Sevilla;5
006; Alcobendas;Hombre;Soria;1
006; Alcobendas;Hombre;Tarragona;1
006; Alcobendas;Hombre;Teruel;0
006; Alcobendas;Hombre;Toledo;7
006; Alcobendas;Hombre;Valencia/València;2
006; Alcobendas;Hombre;Valladolid;3
006; Alcobendas;Hombre;Zamora;1
006; Alcobendas;Hombre;Zaragoza;1
006; Alcobendas;Mujer;Albacete;3
006; Alcobendas;Mujer;Alicante/Alacant;0
006; Alcobendas;Mujer;Almería;1
006; Alcobendas;Mujer;Araba/Álava;0
006; Alcobendas;Mujer;Asturias;2
006; Alcobendas;Mujer;Ávila;9
006; Alcobendas;Mujer;Badajoz;17
006; Alcobendas;Mujer;Baleares (Illes);0
006; Alcobendas;Mujer;Barcelona;3
006; Alcobendas;Mujer;Bizkaia;4
006; Alcobendas;Mujer;Burgos;6
006; Alcobendas;Mujer;Cáceres;10
006; Alcobendas;Mujer;Cádiz;4
006; Alcobendas;Mujer;Cantabria;3
006; Alcobendas;Mujer;Castellón/Castelló;0
